idx,x,type,high,open,close,low
417,830,bear,1225.24,1225.24,1148.28,1148.28
418,832,bear,1071.32,1071.32,1027.35,1027.35
419,833,bear,1014.52,1014.52,930.23,930.23
420,838,bear,1014.52,1014.52,930.23,930.23
421,840,bear,933.89,933.89,913.74,913.74
422,845,bear,933.89,933.89,913.74,913.74
423,846,bull,1049.33,1021.85,1049.33,1021.85
424,848,bear,911.91,911.91,790.97,790.97
425,850,bull,1049.33,1021.85,1049.33,1021.85
426,852,bull,1102.47,1051.17,1102.47,1051.17
427,853,bear,911.91,911.91,790.97,790.97
428,855,bear,801.96,801.96,778.14,778.14
429,856,bull,1102.47,1051.17,1102.47,1051.17
430,858,bear,1117.13,1117.13,1106.14,1106.14
431,860,bear,801.96,801.96,778.14,778.14
432,862,bear,1117.13,1117.13,1106.14,1106.14
433,863,bull,805.63,768.98,805.63,768.98
434,864,bull,1131.79,1122.63,1131.79,1122.63
435,868,bull,805.63,768.98,805.63,768.98
436,870,bear,809.29,809.29,761.65,761.65
437,874,bull,1161.11,1133.62,1161.11,1133.62
438,875,bear,809.29,809.29,761.65,761.65
439,876,bear,1142.79,1142.79,1118.97,1118.97
440,878,bear,756.15,756.15,692.02,692.02
441,880,bear,1142.79,1142.79,1118.97,1118.97
442,882,bear,1100.64,1100.64,1067.66,1067.66
443,883,bear,756.15,756.15,692.02,692.02
444,885,bull,770.81,715.84,770.81,715.84
445,886,bear,1100.64,1100.64,1067.66,1067.66
446,888,bear,1063.99,1063.99,1031.01,1031.01
447,890,bull,770.81,715.84,770.81,715.84
448,892,bear,1063.99,1063.99,1031.01,1031.01
449,893,bear,801.96,801.96,754.32,754.32
450,894,bear,1014.52,1014.52,979.70,979.70
451,898,bear,801.96,801.96,754.32,754.32
452,900,bear,756.15,756.15,743.33,743.33
453,904,bear,966.88,966.88,946.72,946.72
454,905,bear,756.15,756.15,743.33,743.33
455,906,bear,944.89,944.89,939.39,939.39
456,908,bull,823.95,768.98,823.95,768.98
457,910,bear,944.89,944.89,939.39,939.39
458,912,bull,937.56,932.06,937.56,932.06
459,913,bull,823.95,768.98,823.95,768.98
460,915,bear,825.78,825.78,801.96,801.96
461,916,bull,937.56,932.06,937.56,932.06
462,918,bull,974.21,939.39,974.21,939.39
463,920,bear,825.78,825.78,801.96,801.96
464,922,bull,974.21,939.39,974.21,939.39
465,923,bear,800.13,800.13,743.33,743.33
466,924,bear,974.21,974.21,884.42,884.42
467,928,bear,800.13,800.13,743.33,743.33
468,930,bear,743.33,743.33,739.66,739.66
469,934,bear,891.75,891.75,827.62,827.62
470,935,bear,743.33,743.33,739.66,739.66
471,936,bull,838.61,809.29,838.61,809.29
472,938,bear,719.50,719.50,704.84,704.84
473,940,bull,838.61,809.29,838.61,809.29
474,942,bull,913.74,889.92,913.74,889.92
475,943,bear,719.50,719.50,704.84,704.84
476,945,bear,708.51,708.51,642.54,642.54
477,946,bull,913.74,889.92,913.74,889.92
478,948,bear,911.91,911.91,889.92,889.92
479,950,bear,708.51,708.51,642.54,642.54
480,952,bear,911.91,911.91,889.92,889.92
481,953,bear,644.38,644.38,600.40,600.40
482,958,bear,644.38,644.38,600.40,600.40
483,960,bear,626.05,626.05,585.74,585.74
484,964,bear,862.43,862.43,851.44,851.44
485,965,bear,626.05,626.05,585.74,585.74
486,966,bull,955.88,851.44,955.88,851.44
487,968,bull,622.39,585.74,622.39,585.74
488,970,bull,955.88,851.44,955.88,851.44
489,972,bear,946.72,946.72,941.22,941.22
490,973,bull,622.39,585.74,622.39,585.74
491,975,bear,637.05,637.05,633.38,633.38
492,976,bear,946.72,946.72,941.22,941.22
493,978,bear,932.06,932.06,891.75,891.75
494,980,bear,637.05,637.05,633.38,633.38
495,982,bear,932.06,932.06,891.75,891.75
496,984,bull,1060.33,891.75,1060.33,891.75
497,988,bull,1060.33,891.75,1060.33,891.75
