date,open,high,low,close,type
2023-10-30,19053.4,19276.25,18940.0,19230.6,bull
2023-11-06,19345.85,19547.25,19309.7,19525.55,bull
2023-11-13,19486.75,19875.25,19414.75,19731.8,bull
2023-11-20,19731.15,19875.15,19670.5,19794.7,bull
2023-11-28,19844.65,20291.55,19800.0,20267.9,bull
2023-12-04,20601.95,21006.1,20507.75,20969.4,bull
2023-12-11,20965.3,21492.3,20769.5,21456.65,bull
2023-12-18,21434.8,21593.0,20976.8,21349.4,bear
2023-12-26,21365.2,21801.45,21329.45,21731.4,bull
2024-01-01,21727.75,21834.35,21500.35,21710.8,bear
2024-01-08,21747.6,21928.25,21448.65,21894.55,bull
2024-01-15,22053.15,22124.15,21285.55,21571.8,bear
2024-01-23,21716.7,21750.25,21137.2,21352.6,bear
2024-01-29,21433.1,22126.8,21429.6,21853.8,bull
2024-02-05,21921.05,22053.3,21629.9,21782.5,bear
2024-02-12,21800.8,22068.65,21530.2,22040.7,bull
2024-02-19,22103.45,22297.5,21875.25,22212.7,bull
2024-03-04,22403.5,22525.65,22224.35,22493.55,bull
2024-03-11,22517.5,22526.6,21905.65,22023.35,bear
2024-03-18,21990.1,22180.7,21710.2,22096.75,bull
2024-03-26,21947.9,22516.0,21947.55,22326.9,bull
2024-04-01,22455.0,22619.0,22303.8,22513.7,bull
2024-04-08,22578.35,22775.7,22503.75,22519.4,bear
2024-04-15,22339.05,22427.45,21777.65,22147.0,bear
2024-04-22,22336.9,22625.95,22198.15,22419.95,bull
2024-04-29,22475.55,22794.7,22348.05,22475.85,bull
2024-05-06,22561.6,22588.8,21932.4,22055.2,bear
2024-05-13,22027.95,22520.25,21821.05,22502.0,bull
2024-05-21,22404.55,23026.4,22404.55,22957.1,bull
2024-05-27,23038.95,23110.8,22417.0,22530.7,bear
2024-06-03,23337.9,23338.7,21281.45,23290.15,bear
2024-06-10,23319.15,23490.4,23206.65,23465.6,bull
2024-06-18,23570.8,23667.1,23398.2,23501.1,bear
2024-06-24,23382.3,24174.0,23350.0,24010.6,bull
2024-07-01,23992.95,24401.0,23992.7,24323.85,bull
2024-07-08,24329.45,24592.2,24141.8,24502.15,bull
2024-07-15,24587.6,24854.8,24504.45,24530.9,bear
2024-07-22,24445.75,24861.15,24074.2,24834.85,bull
2024-07-29,24943.3,25078.3,24686.85,24717.7,bear
2024-08-05,24302.85,24419.75,23893.7,24367.5,bull
2024-08-12,24320.05,24563.9,24099.7,24541.15,bull
2024-08-19,24636.35,24867.35,24522.95,24823.15,bull
2024-08-26,24906.1,25268.35,24874.7,25235.9,bull
2024-09-02,25333.6,25333.65,24801.3,24852.15,bear
2024-09-09,24823.4,25433.35,24753.15,25356.5,bull
2024-09-16,25406.65,25849.25,25285.55,25790.95,bull
2024-09-23,25872.55,26277.35,25847.35,26178.95,bull
2024-09-30,26061.3,26134.7,24966.8,25014.6,bear
2024-10-07,25084.1,25234.05,24694.35,24964.25,bear
2024-10-14,25023.45,25212.05,24567.65,24854.05,bear
2024-10-21,24956.15,24978.3,24073.9,24180.8,bear
2024-10-28,24251.1,24498.2,24134.9,24304.35,bull
2024-11-04,24315.75,24537.6,23816.15,24148.2,bear
2024-11-11,24087.25,24336.8,23484.15,23532.7,bear
2024-11-18,23605.3,23956.1,23263.15,23907.25,bull
2024-11-25,24253.55,24354.55,23873.35,24131.1,bear
2024-12-02,24140.85,24857.75,24008.65,24677.8,bull
2024-12-09,24633.9,24792.3,24180.8,24768.3,bull
2024-12-16,24753.4,24781.25,23537.35,23587.5,bear
2024-12-23,23738.2,23938.85,23647.2,23813.4,bull
2024-12-30,23796.9,24226.7,23460.45,24004.75,bull
2025-01-06,24045.8,24089.95,23344.35,23431.5,bear
2025-01-13,23195.4,23391.65,23047.25,23203.2,bull
2025-01-20,23290.4,23426.3,22976.85,23092.2,bear
2025-01-27,22940.15,23632.45,22786.9,23482.15,bull
2025-02-03,23319.35,23807.3,23222.0,23559.95,bull
2025-02-10,23543.8,23568.6,22774.85,22929.25,bear
2025-02-17,22809.9,23049.95,22720.3,22795.9,bear
2025-02-24,22609.35,22668.05,22104.85,22124.7,bear
2025-03-03,22194.55,22633.8,21964.6,22552.5,bull
2025-03-10,22521.85,22676.75,22314.7,22397.2,bear
2025-03-17,22353.15,23402.7,22353.15,23350.4,bull
2025-03-24,23515.4,23869.6,23412.2,23519.35,bull
2025-04-01,23341.1,23565.15,22857.45,22904.45,bear
2025-04-07,21758.4,22923.9,21743.65,22828.55,bull
2025-04-15,23368.35,23872.35,23207.0,23851.65,bull
2025-04-21,23949.15,24365.45,23847.85,24039.35,bull
2025-04-28,24070.25,24589.15,24054.05,24346.7,bull
2025-05-05,24419.5,24526.4,23935.75,24008.0,bear
2025-05-12,24420.1,25116.25,24378.85,25019.8,bull
2025-05-19,25005.35,25062.95,24462.4,24853.15,bear
2025-05-26,24919.35,25079.2,24677.3,24750.7,bear
2025-06-02,24669.7,25029.5,24502.15,25003.05,bull
2025-06-09,25160.1,25222.4,24473.0,24718.6,bear
2025-06-16,24732.35,25136.2,24703.6,25112.4,bull
2025-06-23,24939.75,25654.2,24824.85,25637.8,bull
2025-06-30,25661.65,25669.35,25331.65,25461.0,bear
2025-07-07,25450.45,25548.7,25129.0,25149.85,bear
2025-07-14,25149.5,25255.3,24918.65,24968.4,bear
2025-07-21,24999.0,25246.25,24806.35,24837.0,bear
2025-07-28,24782.45,24956.5,24535.05,24565.35,bear
2025-08-04,24596.05,24736.25,24337.5,24363.3,bear
2025-08-11,24371.5,24702.6,24347.45,24631.3,bull
2025-08-18,24938.2,25153.65,24852.85,24870.1,bear
2025-08-25,24949.15,25021.55,24404.7,24426.85,bear
2025-09-01,24432.7,24980.75,24432.7,24741.0,bull
2025-09-08,24802.6,25139.45,24751.55,25114.0,bull
2025-09-15,25118.9,25448.95,25048.75,25327.05,bull
2025-09-22,25238.1,25331.7,24629.45,24654.7,bear
2025-09-29,24728.55,24904.8,24587.7,24894.25,bull
2025-10-06,24916.55,25330.75,24881.65,25285.35,bull
2025-10-13,25177.3,25781.5,25060.55,25709.85,bull
2025-10-20,25824.6,26104.2,25718.2,25795.15,bear
2025-10-27,25843.2,26097.85,25711.2,25722.1,bear
2025-11-03,25696.85,25803.1,25318.45,25492.3,bear
2025-11-10,25503.5,26010.7,25449.25,25910.05,bull
2025-11-17,25948.2,26246.65,25856.2,26068.15,bull
2025-11-24,26122.8,26310.45,25842.95,26202.95,bull
2025-12-01,26325.8,26325.8,25891.0,26186.45,bear
2025-12-08,26159.8,26178.7,25693.25,26046.95,bear
