date,idx,x,type,high,open,close,low
2022-11-04,78,292,bull,482.02,463.76,482.02,463.76
2022-11-11,79,298,bear,183.76,183.76,86.37,86.37
2022-11-18,80,304,bull,451.59,429.27,451.59,429.27
2022-11-18,81,305,bull,80.29,70.14,80.29,70.14
2022-11-25,82,310,bear,451.59,451.59,402.89,402.89
2022-11-25,83,313,bear,72.17,72.17,-55.65,-55.65
2022-12-02,84,316,bear,404.92,404.92,333.91,333.91
2022-12-02,85,320,bull,-35.36,-55.65,-35.36,-55.65
2022-12-09,86,322,bear,335.93,335.93,309.56,309.56
2022-12-16,87,328,bear,-31.31,-31.31,-53.63,-53.63
2022-12-23,88,334,bear,293.33,293.33,289.27,289.27
2022-12-23,89,335,bull,45.79,-23.19,45.79,-23.19
2022-12-30,90,340,bull,333.91,297.38,333.91,297.38
2022-12-30,91,343,bull,141.15,45.79,141.15,45.79
2023-01-06,92,346,bull,362.31,335.93,362.31,335.93
2023-01-13,93,350,bear,112.75,112.75,-53.63,-53.63
2023-01-13,94,352,bull,435.35,366.37,435.35,366.37
2023-01-20,95,358,bull,72.17,-67.83,72.17,-67.83
2023-01-27,96,364,bear,494.19,494.19,482.02,482.02
2023-01-27,97,365,bull,90.43,66.08,90.43,66.08
2023-02-03,98,370,bull,494.19,482.02,494.19,482.02
2023-02-10,99,373,bear,78.26,78.26,57.97,57.97
2023-02-10,100,376,bear,471.87,471.87,443.47,443.47
2023-02-17,101,380,bull,51.88,23.47,51.88,23.47
2023-02-17,102,382,bull,479.99,451.59,479.99,451.59
2023-02-24,103,388,bear,51.88,51.88,-11.02,-11.02
2023-03-03,104,394,bull,516.51,453.61,516.51,453.61
2023-03-03,105,395,bear,-6.96,-6.96,-96.23,-96.23
2023-03-10,106,400,bull,563.18,518.54,563.18,518.54
2023-03-17,107,403,bear,-92.18,-92.18,-126.67,-126.67
2023-03-17,108,406,bull,605.79,563.18,605.79,563.18
2023-03-24,109,410,bear,-132.76,-132.76,-148.99,-148.99
2023-03-24,110,412,bull,563.18,518.54,563.18,518.54
2023-03-31,111,418,bear,-146.96,-146.96,-151.02,-151.02
2023-04-14,112,425,bull,-96.23,-142.90,-96.23,-142.90
2023-04-21,113,430,bull,648.39,607.82,648.39,607.82
2023-04-21,114,433,bull,-59.71,-92.18,-59.71,-92.18
2023-04-28,115,436,bull,682.89,646.37,682.89,646.37
2023-04-28,116,440,bull,29.56,-55.65,29.56,-55.65
2023-05-05,117,442,bull,648.39,607.82,648.39,607.82
2023-05-12,118,448,bull,126.95,21.45,126.95,21.45
2023-05-19,119,454,bull,701.15,688.97,701.15,688.97
2023-05-19,120,455,bear,104.63,104.63,90.43,90.43
2023-05-26,121,460,bull,749.84,715.35,749.84,715.35
2023-05-26,122,463,bull,104.63,88.40,104.63,88.40
2023-06-02,123,466,bear,766.07,766.07,751.87,751.87
2023-06-02,124,470,bear,78.26,78.26,41.74,41.74
2023-06-09,125,472,bull,786.36,755.93,786.36,755.93
2023-06-16,126,478,bull,88.40,51.88,88.40,51.88
2023-06-23,127,484,bull,867.52,804.62,867.52,804.62
2023-06-23,128,485,bear,118.84,118.84,62.03,62.03
2023-06-30,129,490,bear,865.49,865.49,839.12,839.12
2023-07-01,130,493,bull,133.04,53.91,133.04,53.91
2023-07-01,131,496,bull,839.12,826.94,839.12,826.94
2023-07-01,132,500,bull,191.88,135.07,191.88,135.07
2023-07-01,133,502,bear,865.49,865.49,839.12,839.12
2023-07-08,134,508,bull,244.63,189.85,244.63,189.85
2023-07-15,135,514,bear,885.78,885.78,762.02,762.02
2023-07-15,136,515,bull,191.88,135.07,191.88,135.07
2023-07-22,137,520,bear,759.99,759.99,723.47,723.47
2023-07-22,138,523,bull,248.69,206.08,248.69,206.08
2023-07-29,139,526,bear,723.47,723.47,695.06,695.06
2023-08-05,140,532,bull,729.55,699.12,729.55,699.12
2023-08-12,141,538,bull,297.38,246.66,297.38,246.66
2023-08-19,142,544,bear,816.80,816.80,727.52,727.52
2023-08-19,143,545,bull,342.02,295.36,342.02,295.36
2023-08-26,144,550,bear,741.73,741.73,699.12,699.12
2023-09-02,145,553,bull,297.38,246.66,297.38,246.66
2023-09-02,146,556,bear,709.26,709.26,697.09,697.09
2023-09-09,147,560,bull,360.28,339.99,360.28,339.99
2023-09-09,148,562,bear,688.97,688.97,664.63,664.63
2023-09-16,149,568,bull,362.31,348.11,362.31,348.11
2023-09-23,150,574,bull,731.58,715.35,731.58,715.35
2023-09-30,151,575,bull,425.21,382.60,425.21,382.60
2023-09-30,152,580,bear,713.32,713.32,678.83,678.83
2023-10-07,153,583,bear,443.47,443.47,427.24,427.24
2023-10-07,154,586,bear,660.57,660.57,638.25,638.25
2023-10-14,155,590,bull,469.85,431.30,469.85,431.30
2023-10-21,156,592,bull,711.29,644.34,711.29,644.34
2023-10-28,157,598,bull,490.14,465.79,490.14,465.79
2023-11-04,158,604,bull,828.97,796.51,828.97,796.51
2023-11-04,159,605,bull,571.29,494.19,571.29,494.19
2023-11-11,160,610,bull,798.54,711.29,798.54,711.29
2023-11-11,161,613,bear,569.26,569.26,536.80,536.80
2023-11-18,162,616,bull,843.17,833.03,843.17,833.03
2023-11-18,163,620,bull,534.77,520.57,534.77,520.57
2023-11-25,164,622,bull,883.75,833.03,883.75,833.03
2023-12-02,165,628,bull,899.99,861.44,899.99,861.44
2023-12-09,166,634,bear,887.81,887.81,865.49,865.49
2023-12-09,167,635,bull,593.61,567.24,593.61,567.24
2023-12-16,168,640,bear,865.49,865.49,857.38,857.38
2023-12-16,169,643,bear,595.64,595.64,439.41,439.41
2023-12-23,170,646,bear,806.65,806.65,753.90,753.90
2023-12-30,171,650,bear,439.41,439.41,390.72,390.72
2023-12-30,172,652,bull,794.48,762.02,794.48,762.02
2024-01-06,173,658,bear,390.72,390.72,354.20,354.20
2024-01-13,174,664,bull,794.48,762.02,794.48,762.02
2024-01-13,175,665,bull,398.83,360.28,398.83,360.28
2024-01-20,176,670,bear,849.26,849.26,796.51,796.51
2024-01-27,177,673,bull,520.57,417.09,520.57,417.09
2024-01-27,178,676,bull,820.86,816.80,820.86,816.80
2024-02-03,179,680,bear,508.40,508.40,396.80,396.80
2024-02-03,180,682,bear,816.80,816.80,764.05,764.05
2024-02-10,181,688,bear,415.06,415.06,360.28,360.28
2024-02-17,182,694,bear,762.02,762.02,739.70,739.70
2024-02-17,183,695,bear,374.48,374.48,358.25,358.25
2024-02-24,184,700,bear,707.23,707.23,660.57,660.57
2024-03-02,185,703,bear,350.14,350.14,317.67,317.67
2024-03-02,186,706,bear,762.02,762.02,739.70,739.70
2024-03-09,187,710,bull,386.66,317.67,386.66,317.67
2024-03-09,188,712,bear,701.15,701.15,674.77,674.77
2024-03-16,189,718,bull,400.86,380.57,400.86,380.57
2024-03-30,190,724,bear,662.60,662.60,650.42,650.42
2024-03-30,191,725,bear,378.54,378.54,335.93,335.93
2024-04-06,192,730,bull,711.29,644.34,711.29,644.34
2024-04-06,193,733,bear,311.59,311.59,283.18,283.18
2024-04-13,194,736,bear,699.12,699.12,607.82,607.82
2024-04-13,195,740,bull,376.51,293.33,376.51,293.33
2024-04-20,196,742,bull,644.34,613.90,644.34,613.90
2024-04-27,197,748,bull,486.08,376.51,486.08,376.51
2024-05-04,198,754,bull,770.13,764.05,770.13,764.05
2024-05-04,199,755,bull,524.63,482.02,524.63,482.02
2024-05-11,200,760,bull,831.00,792.45,831.00,792.45
2024-05-11,201,763,bull,486.08,376.51,486.08,376.51
2024-05-18,202,766,bull,831.00,826.94,831.00,826.94
2024-05-25,203,770,bull,540.86,528.69,540.86,528.69
2024-05-25,204,772,bull,851.29,847.23,851.29,847.23
2024-06-01,205,778,bull,591.58,528.69,591.58,528.69
2024-06-08,206,784,bull,1033.90,895.93,1033.90,895.93
2024-06-08,207,785,bull,611.87,565.21,611.87,565.21
2024-06-15,208,790,bear,1042.01,1042.01,991.29,991.29
2024-06-22,209,793,bear,595.64,595.64,569.26,569.26
2024-06-22,210,796,bull,1017.67,993.32,1017.67,993.32
2024-06-29,211,800,bear,567.24,567.24,557.09,557.09
2024-06-29,212,802,bull,1159.69,1033.90,1159.69,1033.90
2024-07-01,213,808,bear,494.19,494.19,429.27,429.27
2024-07-01,214,814,bear,1251.00,1251.00,1143.46,1143.46
2024-07-01,215,815,bull,482.02,439.41,482.02,439.41
2024-07-08,216,820,bear,1165.78,1165.78,1086.65,1086.65
2024-07-08,217,823,bull,544.92,441.44,544.92,441.44
2024-07-15,218,826,bull,1100.85,1076.50,1100.85,1076.50
2024-07-22,219,830,bull,482.02,439.41,482.02,439.41
2024-07-22,220,832,bull,1068.39,916.22,1068.39,916.22
2024-07-29,221,838,bear,551.00,551.00,482.02,482.02
2024-08-05,222,844,bull,1163.75,1155.63,1163.75,1155.63
2024-08-05,223,845,bull,514.48,508.40,514.48,508.40
2024-08-12,224,850,bull,1184.04,1165.78,1184.04,1165.78
2024-08-12,225,853,bear,510.43,510.43,443.47,443.47
2024-08-19,226,856,bear,1179.98,1179.98,1113.03,1113.03
2024-08-26,227,860,bull,443.47,437.38,443.47,437.38
2024-08-26,228,862,bull,1125.20,1113.03,1125.20,1113.03
2024-09-02,229,868,bear,439.41,439.41,413.04,413.04
2024-09-09,230,874,bull,1125.20,1113.03,1125.20,1113.03
2024-09-09,231,875,bear,370.43,370.43,311.59,311.59
2024-09-16,232,880,bear,1194.18,1194.18,1165.78,1165.78
2024-09-23,233,883,bear,439.41,439.41,413.04,413.04
2024-09-23,234,886,bull,1169.84,1145.49,1169.84,1145.49
2024-09-30,235,890,bear,364.34,364.34,329.85,329.85
2024-09-30,236,892,bull,1238.82,1184.04,1238.82,1184.04
2024-10-07,237,898,bull,317.67,309.56,317.67,309.56
2024-10-14,238,904,bear,1222.59,1222.59,1131.29,1131.29
2024-10-14,239,905,bear,315.65,315.65,299.41,299.41
2024-10-21,240,910,bull,1165.78,1113.03,1165.78,1113.03
2024-10-28,241,913,bull,376.51,293.33,376.51,293.33
2024-10-28,242,916,bear,1222.59,1222.59,1131.29,1131.29
2024-11-04,243,920,bear,362.31,362.31,246.66,246.66
2024-11-04,244,922,bull,1192.16,1151.58,1192.16,1151.58
2024-11-11,245,928,bull,293.33,252.75,293.33,252.75
2024-11-18,246,934,bull,1307.81,1261.14,1307.81,1261.14
2024-11-18,247,935,bull,453.61,342.02,453.61,342.02
2024-11-25,248,940,bull,1356.50,1301.72,1356.50,1301.72
2024-12-02,249,943,bull,449.56,443.47,449.56,443.47
2024-12-02,250,946,bull,1413.31,1356.50,1413.31,1356.50
2024-12-09,251,950,bull,526.66,477.96,526.66,477.96
2024-12-09,252,952,bull,1423.46,1417.37,1423.46,1417.37
2024-12-16,253,958,bull,526.66,522.60,526.66,522.60
2024-12-23,254,964,bear,1322.01,1322.01,1257.08,1257.08
2024-12-30,255,965,bull,553.03,546.95,553.03,546.95
2024-12-30,256,970,bear,1224.62,1224.62,1194.18,1194.18
2025-01-06,257,973,bull,605.79,561.15,605.79,561.15
2025-01-06,258,976,bear,1139.40,1139.40,1129.26,1129.26
2025-01-13,259,980,bull,780.28,607.82,780.28,607.82
2025-01-13,260,982,bull,1246.94,1141.43,1246.94,1141.43
2025-01-20,261,988,bear,790.42,790.42,727.52,727.52
2025-02-03,262,994,bull,1324.04,1190.13,1324.04,1190.13
2025-02-03,263,995,bull,759.99,729.55,759.99,729.55
2025-02-10,264,1000,bull,1332.15,1322.01,1332.15,1322.01
2025-02-10,265,1003,bull,936.51,778.25,936.51,778.25
2025-02-17,266,1006,bear,1328.10,1328.10,1301.72,1301.72
2025-02-17,267,1010,bull,985.20,946.65,985.20,946.65
2025-02-24,268,1012,bear,1299.69,1299.69,1277.37,1277.37
2025-03-03,269,1018,bear,1052.16,1052.16,916.22,916.22
2025-03-10,270,1024,bull,1086.65,1044.04,1086.65,1044.04
2025-03-10,271,1025,bear,944.62,944.62,845.20,845.20
2025-03-17,272,1030,bear,1111.00,1111.00,1086.65,1086.65
2025-03-17,273,1033,bull,863.46,833.03,863.46,833.03
2025-03-24,274,1036,bear,1076.50,1076.50,818.83,818.83
2025-03-24,275,1040,bull,822.88,632.16,822.88,632.16
2025-03-31,276,1042,bull,906.07,719.41,906.07,719.41
2025-04-07,277,1048,bull,934.48,822.88,934.48,822.88
2025-04-14,278,1054,bull,1005.49,863.46,1005.49,863.46
2025-04-14,279,1055,bull,942.59,932.45,942.59,932.45
2025-04-21,280,1060,bear,1011.58,1011.58,973.03,973.03
2025-04-21,281,1063,bull,966.94,944.62,966.94,944.62
2025-04-28,282,1066,bear,950.71,950.71,910.13,910.13
2025-04-28,283,1070,bear,962.88,962.88,877.67,877.67
2025-05-05,284,1072,bear,1011.58,1011.58,973.03,973.03
2025-05-12,285,1078,bull,893.90,877.67,893.90,877.67
2025-05-19,286,1084,bull,930.42,908.10,930.42,908.10
2025-05-19,287,1085,bull,958.83,828.97,958.83,828.97
2025-05-26,288,1090,bull,956.80,926.36,956.80,926.36
2025-05-26,289,1093,bull,893.90,877.67,893.90,877.67
2025-06-02,290,1096,bear,960.85,960.85,891.87,891.87
2025-06-09,291,1100,bear,979.11,979.11,944.62,944.62
2025-06-09,292,1102,bull,930.42,899.99,930.42,899.99
2025-06-16,293,1108,bull,950.71,918.25,950.71,918.25
2025-06-23,294,1114,bull,1044.04,942.59,1044.04,942.59
2025-06-23,295,1115,bull,1033.90,964.91,1033.90,964.91
2025-06-30,296,1120,bear,1035.93,1035.93,1025.78,1025.78
2025-07-01,297,1123,bear,1027.81,1027.81,995.35,995.35
2025-07-01,298,1126,bull,1023.75,1013.61,1023.75,1013.61
2025-07-01,299,1130,bear,1015.64,1015.64,899.99,899.99
2025-07-01,300,1132,bull,1048.10,1033.90,1048.10,1033.90
2025-07-08,301,1138,bull,944.62,879.70,944.62,879.70
2025-07-15,302,1144,bull,1186.07,964.91,1186.07,964.91
2025-07-15,303,1145,bear,1015.64,1015.64,899.99,899.99
2025-07-22,304,1150,bull,1206.36,1175.92,1206.36,1175.92
2025-07-22,305,1153,bull,977.09,926.36,977.09,926.36
2025-07-29,306,1156,bear,1208.39,1208.39,1173.89,1173.89
2025-08-05,307,1160,bull,1060.27,997.38,1060.27,997.38
2025-08-05,308,1162,bull,1212.45,1163.75,1212.45,1163.75
2025-08-12,309,1168,bull,1123.17,1062.30,1123.17,1062.30
2025-08-19,310,1174,bear,1277.37,1277.37,1230.71,1230.71
2025-08-19,311,1175,bull,1182.01,1113.03,1182.01,1113.03
2025-08-26,312,1180,bull,1332.15,1257.08,1332.15,1257.08
2025-09-02,313,1183,bull,1255.05,1184.04,1255.05,1184.04
2025-09-02,314,1186,bull,1423.46,1360.56,1423.46,1360.56
2025-09-09,315,1190,bull,1267.23,1259.11,1267.23,1259.11
2025-09-09,316,1192,bull,1445.78,1417.37,1445.78,1417.37
2025-09-16,317,1198,bear,1228.68,1228.68,1131.29,1131.29
2025-09-23,318,1204,bull,1393.02,1368.68,1393.02,1368.68
2025-09-30,319,1205,bear,1139.40,1139.40,1058.24,1058.24
2025-09-30,320,1210,bull,1488.38,1427.51,1488.38,1427.51
2025-10-07,321,1213,bear,1017.67,1017.67,981.14,981.14
2025-10-07,322,1216,bull,1557.37,1508.67,1557.37,1508.67
2025-10-14,323,1220,bear,910.13,910.13,899.99,899.99
2025-10-14,324,1222,bear,1557.37,1557.37,1541.14,1541.14
2025-10-28,325,1228,bull,1046.07,912.16,1046.07,912.16
2025-11-04,326,1234,bull,1567.51,1545.19,1567.51,1545.19
2025-11-04,327,1235,bear,979.11,979.11,952.74,952.74
2025-11-11,328,1240,bull,1634.47,1563.46,1634.47,1563.46
2025-11-11,329,1243,bull,1143.46,975.06,1143.46,975.06
2025-11-18,330,1246,bull,1632.44,1628.38,1632.44,1628.38
2025-11-18,331,1250,bull,1153.61,1139.40,1153.61,1139.40
2025-11-25,332,1252,bull,1634.47,1563.46,1634.47,1563.46
2025-12-02,333,1258,bear,1147.52,1147.52,1113.03,1113.03
2025-12-09,334,1265,bear,1111.00,1111.00,1082.59,1082.59
2025-12-16,335,1270,bear,1577.66,1577.66,1565.48,1565.48
2025-12-16,336,1273,bear,1039.98,1039.98,794.48,794.48
2025-12-23,337,1276,bear,1559.40,1559.40,1459.98,1459.98
2025-12-30,338,1280,bull,845.20,792.45,845.20,792.45
2025-12-30,339,1282,bear,1455.92,1455.92,1425.49,1425.49
2026-01-06,340,1288,bear,877.67,877.67,843.17,843.17
2026-01-13,341,1294,bull,1457.95,1388.96,1457.95,1388.96
2026-01-13,342,1295,bear,831.00,831.00,510.43,510.43
2026-01-20,343,1300,bull,1626.35,1466.07,1626.35,1466.07
2026-01-27,344,1303,bull,619.99,384.63,619.99,384.63
2026-01-27,345,1306,bear,1624.32,1624.32,1427.51,1427.51
2026-02-03,346,1310,bear,768.10,768.10,607.82,607.82
2026-02-03,347,1312,bull,1504.62,1447.80,1504.62,1447.80
2026-02-10,348,1318,bull,743.76,565.21,743.76,565.21
2026-02-17,349,1324,bear,1484.33,1484.33,1441.72,1441.72
2026-02-17,350,1325,bear,751.87,751.87,703.18,703.18
