date,idx,x,type,high,open,close,low
2025-07-01,28,1033,bull,18347.34,18114.13,18347.34,18114.13
2025-07-01,29,1048,bull,18720.48,18207.42,18720.48,18207.42
2025-07-01,30,1056,bull,18875.96,18798.22,18875.96,18798.22
2025-07-01,31,1071,bull,19311.29,19186.91,19311.29,19186.91
2025-07-01,32,1078,bear,19311.29,19311.29,19218.00,19218.00
2025-07-01,33,1093,bear,19124.72,19124.72,18984.79,18984.79
2025-07-01,34,1108,bear,18860.41,18860.41,18813.77,18813.77
2025-07-01,35,1116,bull,18984.79,18844.86,18984.79,18844.86
2025-07-01,36,1131,bull,19777.71,19466.76,19777.71,19466.76
2025-07-01,37,1138,bear,19731.07,19731.07,19249.10,19249.10
2025-07-01,38,1146,bear,19233.55,19233.55,19202.45,19202.45
2025-07-01,39,1168,bear,19295.74,19295.74,19109.17,19109.17
2025-07-01,40,1176,bear,19062.53,19062.53,18580.56,18580.56
2025-07-01,41,1191,bull,19078.08,18907.05,19078.08,18907.05
2025-07-01,42,1198,bull,19295.74,19046.98,19295.74,19046.98
2025-07-01,43,1213,bull,19855.45,19420.12,19855.45,19420.12
2025-07-01,44,1228,bull,21099.25,20601.73,21099.25,20601.73
2025-07-01,45,1236,bear,21083.70,21083.70,21005.96,21005.96
2025-07-01,46,1243,bull,21394.65,21021.51,21394.65,21021.51
2025-07-01,47,1258,bull,21565.67,21425.75,21565.67,21425.75
2025-07-01,48,1273,bear,21379.10,21379.10,21005.96,21005.96
2025-07-01,49,1288,bear,21581.22,21581.22,21456.84,21456.84
2025-07-01,50,1296,bull,21721.15,21472.39,21721.15,21472.39
2025-07-01,51,1311,bull,22063.19,21861.08,22063.19,21861.08
2025-07-01,52,1318,bull,22187.57,22109.84,22187.57,22109.84
2026-07-01,53,1333,bull,21767.79,21674.51,21767.79,21674.51
2026-07-01,54,1348,bull,22203.12,22156.48,22203.12,22156.48
2026-07-01,55,1356,bear,22280.86,22280.86,22234.22,22234.22
2026-07-01,56,1371,bull,22109.84,22047.65,22109.84,22047.65
2026-07-01,57,1378,bear,22265.31,22265.31,21752.24,21752.24
2026-07-01,58,1393,bull,22203.12,21721.15,22203.12,21721.15
2026-07-01,59,1408,bear,22762.83,22762.83,22249.76,22249.76
2026-07-01,60,1416,bear,23073.78,23073.78,23042.69,23042.69
2026-07-01,61,1431,bear,19591.14,23322.54,23260.35,19482.31
2026-07-01,62,1438,bull,23773.42,23135.97,23773.42,23135.97
2026-07-01,63,1453,bull,24302.03,24131.01,24302.03,24131.01
2026-07-01,64,1468,bull,24644.08,24255.39,24644.08,24255.39
2026-07-01,65,1476,bear,24752.91,24752.91,24535.24,24535.24
2026-07-01,66,1491,bull,24333.13,24115.46,24333.13,24115.46
2026-07-01,67,1498,bull,24628.53,24457.51,24628.53,24457.51
2026-07-01,68,1513,bear,25172.69,25172.69,24675.17,24675.17
2026-07-01,69,1528,bull,25654.66,25265.98,25654.66,25265.98
2026-07-01,70,1536,bull,26058.90,25747.95,26058.90,25747.95
2026-07-01,71,1551,bear,24908.38,24908.38,24799.55,24799.55
2026-07-01,72,1558,bear,24846.19,24846.19,24675.17,24675.17
2026-07-01,73,1573,bull,24084.37,24053.27,24084.37,24053.27
2026-07-01,74,1588,bear,23866.70,23866.70,23291.45,23291.45
2026-07-01,75,1596,bull,23680.13,23369.18,23680.13,23369.18
2026-07-01,76,1611,bull,24488.60,23928.89,24488.60,23928.89
2026-07-01,77,1618,bull,24581.89,24457.51,24581.89,24457.51
2026-07-01,78,1633,bull,23571.30,23509.11,23571.30,23509.11
2026-07-01,79,1648,bear,23820.06,23820.06,23182.61,23182.61
2026-07-01,80,1656,bear,23027.14,23027.14,22840.57,22840.57
2026-07-01,81,1671,bull,23229.26,22669.55,23229.26,22669.55
2026-07-01,82,1678,bull,23306.99,23073.78,23306.99,23073.78
2026-07-01,83,1686,bear,23291.45,23291.45,22669.55,22669.55
2026-07-01,84,1708,bull,22249.76,21892.17,22249.76,21892.17
2026-07-01,85,1716,bear,22218.67,22218.67,22109.84,22109.84
2026-07-01,86,1723,bull,23089.33,22063.19,23089.33,22063.19
2026-07-01,87,1738,bear,23073.78,23073.78,22638.45,22638.45
2026-07-01,88,1753,bull,23617.94,23120.42,23617.94,23120.42
2026-07-01,89,1768,bull,24131.01,23866.70,24131.01,23866.70
2026-07-01,90,1776,bear,24208.75,24208.75,23788.97,23788.97
2026-07-01,91,1791,bear,18673.84,24830.65,24675.17,17336.76
2026-07-01,92,1798,bear,24737.36,24737.36,24566.34,24566.34
