idx,x,type,high,open,close,low
457,972,bull,276.48,272.41,276.48,272.41
458,973,bull,264.12,262.08,264.12,262.08
459,975,bear,264.66,264.66,260.86,260.86
460,976,bull,276.48,272.41,276.48,272.41
461,978,bear,278.11,278.11,276.08,276.08
462,980,bear,264.66,264.66,260.86,260.86
463,982,bear,278.11,278.11,276.08,276.08
464,983,bear,262.90,262.90,261.27,261.27
465,984,bull,278.11,277.30,278.11,277.30
466,988,bear,262.90,262.90,261.27,261.27
467,990,bull,263.03,261.27,263.03,261.27
468,994,bear,277.98,277.98,274.72,274.72
469,995,bull,263.03,261.27,263.03,261.27
470,996,bear,274.85,274.85,273.77,273.77
471,998,bear,261.95,261.95,259.77,259.77
472,1000,bear,274.85,274.85,273.77,273.77
473,1002,bull,275.53,274.85,275.53,274.85
474,1003,bear,261.95,261.95,259.77,259.77
475,1005,bull,261.40,259.64,261.40,259.64
476,1006,bull,275.53,274.85,275.53,274.85
477,1008,bear,275.67,275.67,261.95,261.95
478,1010,bull,261.40,259.64,261.40,259.64
479,1012,bear,275.67,275.67,261.95,261.95
480,1013,bull,263.17,261.54,263.17,261.54
481,1014,bear,262.08,262.08,255.97,255.97
482,1018,bull,263.17,261.54,263.17,261.54
483,1020,bear,263.58,263.58,262.76,262.76
484,1024,bull,263.85,258.14,263.85,258.14
485,1025,bear,263.58,263.58,262.76,262.76
486,1026,bull,264.39,263.71,264.39,263.71
487,1028,bull,263.17,261.95,263.17,261.95
488,1030,bull,264.39,263.71,264.39,263.71
489,1032,bear,262.63,262.63,260.73,260.73
490,1033,bull,263.17,261.95,263.17,261.95
491,1036,bear,262.63,262.63,260.73,260.73
492,1038,bull,264.53,259.10,264.53,259.10
493,1042,bull,264.53,259.10,264.53,259.10
494,1043,bear,262.22,262.22,260.86,260.86
495,1044,bull,266.16,263.58,266.16,263.58
496,1048,bear,262.22,262.22,260.86,260.86
497,1050,bear,261.27,261.27,259.77,259.77
498,1054,bull,272.14,268.06,272.14,268.06
499,1055,bear,261.27,261.27,259.77,259.77
500,1056,bull,274.31,271.86,274.31,271.86
501,1058,bear,259.23,259.23,255.16,255.16
502,1060,bull,274.31,271.86,274.31,271.86
503,1062,bear,274.99,274.99,273.09,273.09
504,1063,bear,259.23,259.23,255.16,255.16
505,1065,bear,254.61,254.61,249.04,249.04
506,1066,bear,274.99,274.99,273.09,273.09
507,1068,bear,272.82,272.82,264.39,264.39
508,1070,bear,254.61,254.61,249.04,249.04
509,1072,bear,272.82,272.82,264.39,264.39
510,1073,bear,249.86,249.86,246.46,246.46
511,1074,bull,264.80,262.63,264.80,262.63
512,1078,bear,249.86,249.86,246.46,246.46
513,1080,bull,244.70,242.39,244.70,242.39
514,1085,bull,244.70,242.39,244.70,242.39
515,1086,bear,264.66,264.66,262.63,262.63
516,1088,bull,245.10,244.83,245.10,244.83
517,1090,bear,264.66,264.66,262.63,262.63
518,1092,bear,260.86,260.86,260.45,260.45
519,1093,bull,245.10,244.83,245.10,244.83
520,1095,bull,246.19,244.97,246.19,244.97
521,1096,bear,260.86,260.86,260.45,260.45
522,1098,bear,258.69,258.69,257.60,257.60
523,1100,bull,246.19,244.97,246.19,244.97
524,1102,bear,258.69,258.69,257.60,257.60
525,1103,bull,247.28,244.43,247.28,244.43
526,1104,bull,259.91,255.84,259.91,255.84
527,1108,bull,247.28,244.43,247.28,244.43
528,1110,bull,245.92,245.38,245.92,245.38
529,1114,bull,260.86,257.74,260.86,257.74
530,1115,bull,245.92,245.38,245.92,245.38
531,1118,bear,246.73,246.73,243.75,243.75
532,1122,bear,258.69,258.69,255.97,255.97
533,1123,bear,246.73,246.73,243.75,243.75
534,1125,bear,243.34,243.34,240.49,240.49
535,1126,bear,258.69,258.69,255.97,255.97
536,1128,bear,255.43,255.43,250.27,250.27
537,1130,bear,243.34,243.34,240.49,240.49
538,1132,bear,255.43,255.43,250.27,250.27
539,1133,bear,236.82,236.82,229.48,229.48
540,1134,bull,252.85,252.30,252.85,252.30
541,1138,bear,236.82,236.82,229.48,229.48
542,1140,bear,231.79,231.79,230.57,230.57
543,1144,bull,254.21,253.12,254.21,253.12
544,1145,bear,231.79,231.79,230.57,230.57
545,1146,bear,252.58,252.58,250.13,250.13
546,1148,bear,232.47,232.47,231.52,231.52
547,1150,bear,252.58,252.58,250.13,250.13
548,1152,bear,249.45,249.45,249.04,249.04
549,1153,bear,232.47,232.47,231.52,231.52
550,1155,bull,230.98,230.16,230.98,230.16
551,1156,bear,249.45,249.45,249.04,249.04
552,1160,bull,230.98,230.16,230.98,230.16
553,1163,bull,240.21,235.46,240.21,235.46
554,1164,bear,253.93,253.93,251.62,251.62
555,1168,bull,240.21,235.46,240.21,235.46
556,1170,bear,244.83,244.83,243.88,243.88
557,1174,bull,251.62,250.54,251.62,250.54
558,1175,bear,244.83,244.83,243.88,243.88
559,1176,bear,254.07,254.07,252.71,252.71
560,1178,bear,242.93,242.93,241.57,241.57
561,1180,bear,254.07,254.07,252.71,252.71
562,1182,bull,252.85,252.30,252.85,252.30
563,1183,bear,242.93,242.93,241.57,241.57
564,1186,bull,252.85,252.30,252.85,252.30
565,1188,bear,253.93,253.93,248.91,248.91
566,1192,bear,253.93,253.93,248.91,248.91
567,1193,bull,245.24,239.94,245.24,239.94
568,1194,bear,250.13,250.13,246.73,246.73
569,1198,bull,245.24,239.94,245.24,239.94
570,1200,bull,258.42,246.06,258.42,246.06
571,1204,bull,253.80,248.09,253.80,248.09
572,1205,bull,258.42,246.06,258.42,246.06
573,1206,bull,255.70,254.21,255.70,254.21
574,1210,bull,255.70,254.21,255.70,254.21
575,1212,bull,255.97,254.34,255.97,254.34
576,1215,bull,266.57,261.40,266.57,261.40
577,1216,bull,255.97,254.34,255.97,254.34
578,1218,bull,258.82,256.65,258.82,256.65
579,1220,bull,266.57,261.40,266.57,261.40
580,1222,bull,258.82,256.65,258.82,256.65
581,1223,bear,268.60,268.60,265.89,265.89
582,1224,bear,256.11,256.11,253.66,253.66
583,1228,bear,268.60,268.60,265.89,265.89
584,1230,bull,268.60,267.52,268.60,267.52
585,1234,bull,258.96,258.55,258.96,258.55
586,1235,bull,268.60,267.52,268.60,267.52
587,1236,bull,260.45,259.10,260.45,259.10
588,1238,bear,268.33,268.33,264.26,264.26
589,1240,bull,260.45,259.10,260.45,259.10
590,1242,bull,260.45,260.18,260.45,260.18
591,1243,bear,268.33,268.33,264.26,264.26
592,1245,bear,264.53,264.53,263.17,263.17
593,1246,bull,260.45,260.18,260.45,260.18
594,1248,bear,259.77,259.77,259.37,259.37
595,1250,bear,264.53,264.53,263.17,263.17
596,1252,bear,259.77,259.77,259.37,259.37
597,1253,bull,265.34,264.39,265.34,264.39
598,1254,bear,259.23,259.23,258.96,258.96
599,1258,bull,265.34,264.39,265.34,264.39
600,1260,bear,265.34,265.34,248.23,248.23
601,1264,bull,266.43,258.28,266.43,258.28
602,1265,bear,265.34,265.34,248.23,248.23
603,1266,bear,266.84,266.84,263.58,263.58
604,1268,bear,248.36,248.36,240.76,240.76
605,1270,bear,266.84,266.84,263.58,263.58
606,1272,bull,270.23,267.11,270.23,267.11
607,1273,bear,248.36,248.36,240.76,240.76
608,1275,bull,250.81,243.61,250.81,243.61
609,1276,bull,270.23,267.11,270.23,267.11
610,1278,bull,273.09,270.51,273.09,270.51
611,1280,bull,250.81,243.61,250.81,243.61
612,1282,bull,273.09,270.51,273.09,270.51
613,1283,bull,251.35,250.54,251.35,250.54
614,1284,bear,271.46,271.46,266.29,266.29
615,1288,bull,251.35,250.54,251.35,250.54
616,1290,bear,249.18,249.18,246.73,246.73
617,1294,bull,273.22,267.92,273.22,267.92
618,1295,bear,249.18,249.18,246.73,246.73
619,1296,bear,275.12,275.12,273.63,273.63
620,1298,bull,251.62,244.70,251.62,244.70
621,1300,bear,275.12,275.12,273.63,273.63
622,1302,bear,272.82,272.82,271.18,271.18
623,1303,bull,251.62,244.70,251.62,244.70
624,1305,bull,253.66,250.40,253.66,250.40
625,1306,bear,272.82,272.82,271.18,271.18
626,1308,bull,267.65,266.29,267.65,266.29
627,1310,bull,253.66,250.40,253.66,250.40
628,1312,bull,267.65,266.29,267.65,266.29
629,1313,bull,261.13,255.84,261.13,255.84
630,1314,bear,272.41,272.41,270.91,270.91
631,1318,bull,261.13,255.84,261.13,255.84
632,1320,bull,263.71,260.73,263.71,260.73
633,1324,bull,270.23,267.65,270.23,267.65
634,1325,bull,263.71,260.73,263.71,260.73
635,1326,bull,271.32,270.64,271.32,270.64
636,1328,bear,264.53,264.53,262.22,262.22
637,1330,bull,271.32,270.64,271.32,270.64
638,1332,bull,280.15,279.06,280.15,279.06
639,1333,bear,264.53,264.53,262.22,262.22
640,1335,bear,261.95,261.95,251.22,251.22
641,1336,bull,280.15,279.06,280.15,279.06
642,1338,bear,279.61,279.61,277.03,277.03
643,1340,bear,261.95,261.95,251.22,251.22
644,1342,bear,279.61,279.61,277.03,277.03
645,1343,bull,251.76,249.04,251.76,249.04
646,1344,bull,284.23,277.03,284.23,277.03
647,1348,bull,251.76,249.04,251.76,249.04
648,1350,bull,287.49,282.05,287.49,282.05
649,1354,bull,287.49,282.05,287.49,282.05
650,1356,bear,289.25,289.25,287.62,287.62
651,1358,bear,251.76,251.76,249.18,249.18
652,1360,bear,289.25,289.25,287.62,287.62
653,1362,bull,293.33,290.20,293.33,290.20
654,1363,bear,251.76,251.76,249.18,249.18
655,1365,bear,246.87,246.87,246.46,246.46
656,1366,bull,293.33,290.20,293.33,290.20
657,1368,bull,292.65,292.10,292.65,292.10
658,1370,bear,246.87,246.87,246.46,246.46
659,1372,bull,292.65,292.10,292.65,292.10
660,1373,bear,244.15,244.15,242.93,242.93
661,1374,bull,294.82,292.65,294.82,292.65
662,1378,bear,244.15,244.15,242.93,242.93
663,1380,bull,245.78,240.62,245.78,240.62
664,1384,bull,298.90,293.60,298.90,293.60
665,1385,bull,245.78,240.62,245.78,240.62
666,1386,bear,299.85,299.85,298.35,298.35
667,1388,bull,247.01,243.07,247.01,243.07
668,1390,bear,299.85,299.85,298.35,298.35
669,1392,bull,300.25,298.08,300.25,298.08
670,1393,bull,247.01,243.07,247.01,243.07
671,1395,bear,247.28,247.28,247.01,247.01
672,1396,bull,300.25,298.08,300.25,298.08
673,1400,bear,247.28,247.28,247.01,247.01
674,1403,bear,244.29,244.29,240.76,240.76
675,1408,bear,244.29,244.29,240.76,240.76
676,1410,bear,240.21,240.21,233.69,233.69
677,1415,bear,240.21,240.21,233.69,233.69
678,1418,bull,236.95,236.14,236.95,236.14
679,1423,bull,236.95,236.14,236.95,236.14
680,1425,bull,238.72,237.23,238.72,237.23
681,1430,bull,238.72,237.23,238.72,237.23
682,1433,bear,236.68,236.68,233.42,233.42
683,1438,bear,236.68,236.68,233.42,233.42
684,1440,bear,232.61,232.61,232.20,232.20
685,1445,bear,241.30,232.61,232.20,240.35
686,1455,bear,238.31,238.31,235.46,235.46
687,1460,bear,238.31,238.31,235.46,235.46
688,1463,bull,235.46,233.97,235.46,233.97
689,1468,bull,235.46,233.97,235.46,233.97
690,1470,bear,238.58,238.58,236.82,236.82
691,1475,bear,238.58,238.58,236.82,236.82
692,1478,bull,237.09,236.14,237.09,236.14
693,1483,bull,237.09,236.14,237.09,236.14
694,1485,bear,238.31,238.31,232.06,232.06
695,1490,bear,238.31,238.31,232.06,232.06
696,1493,bear,233.56,233.56,229.35,229.35
697,1498,bear,233.56,233.56,229.35,229.35
698,1500,bull,238.18,230.98,238.18,230.98
699,1505,bull,238.18,230.98,238.18,230.98
700,1508,bull,240.49,238.58,240.49,238.58
701,1513,bull,240.49,238.58,240.49,238.58
702,1515,bull,240.76,238.86,240.76,238.86
703,1520,bull,240.76,238.86,240.76,238.86
704,1523,bull,244.43,241.71,244.43,241.71
705,1528,bull,244.43,241.71,244.43,241.71
706,1530,bear,241.17,241.17,237.91,237.91
707,1535,bear,241.17,241.17,237.91,237.91
708,1538,bull,244.56,244.15,244.56,244.15
709,1543,bull,244.56,244.15,244.56,244.15
710,1545,bull,246.46,244.83,246.46,244.83
711,1550,bull,246.46,244.83,246.46,244.83
712,1553,bull,246.46,246.06,246.46,246.06
713,1558,bull,246.46,246.06,246.46,246.06
714,1560,bear,245.51,245.51,245.10,245.10
715,1565,bear,245.51,245.51,245.10,245.10
716,1568,bear,244.97,244.97,244.56,244.56
717,1573,bear,244.97,244.97,244.56,244.56
718,1575,bull,253.93,243.75,253.93,243.75
719,1580,bull,253.93,243.75,253.93,243.75
720,1583,bear,254.48,254.48,250.27,250.27
721,1588,bear,254.48,254.48,250.27,250.27
722,1590,bull,258.69,254.75,258.69,254.75
723,1595,bull,258.69,254.75,258.69,254.75
724,1598,bull,262.22,258.96,262.22,258.96
725,1603,bull,262.22,258.96,262.22,258.96
726,1605,bear,260.32,260.32,253.80,253.80
727,1610,bear,260.32,260.32,253.80,253.80
728,1613,bull,262.36,255.84,262.36,255.84
729,1618,bull,262.36,255.84,262.36,255.84
730,1620,bear,264.66,264.66,262.90,262.90
731,1625,bear,264.66,264.66,262.90,262.90
732,1628,bear,261.81,261.81,259.91,259.91
733,1633,bear,261.81,261.81,259.91,259.91
734,1635,bull,255.43,253.66,255.43,253.66
735,1640,bull,255.43,253.66,255.43,253.66
736,1643,bear,261.27,261.27,259.50,259.50
737,1648,bear,261.27,261.27,259.50,259.50
738,1650,bull,258.69,255.43,258.69,255.43
739,1655,bull,258.69,255.43,258.69,255.43
740,1658,bull,260.05,259.23,260.05,259.23
741,1663,bull,260.05,259.23,260.05,259.23
742,1665,bull,271.05,269.55,271.05,269.55
743,1670,bull,271.05,269.55,271.05,269.55
744,1673,bear,270.51,270.51,267.11,267.11
745,1678,bear,270.51,270.51,267.11,267.11
746,1680,bull,276.08,267.25,276.08,267.25
747,1685,bull,276.08,267.25,276.08,267.25
748,1688,bull,280.29,273.49,280.29,273.49
749,1693,bull,280.29,273.49,280.29,273.49
750,1695,bear,282.46,282.46,280.29,280.29
751,1700,bear,282.46,282.46,280.29,280.29
752,1703,bull,287.62,283.55,287.62,283.55
753,1708,bull,287.62,283.55,287.62,283.55
754,1710,bull,286.81,285.99,286.81,285.99
755,1715,bull,286.81,285.99,286.81,285.99
756,1718,bull,289.39,286.81,289.39,286.81
757,1723,bull,289.39,286.81,289.39,286.81
758,1725,bull,294.55,287.89,294.55,287.89
759,1730,bull,294.55,287.89,294.55,287.89
760,1733,bear,295.64,295.64,293.87,293.87
761,1738,bear,295.64,295.64,293.87,293.87
762,1740,bull,296.18,293.46,296.18,293.46
763,1745,bull,296.18,293.46,296.18,293.46
